=== QUERY: Football Rising Star ===
u9u13rZUMZw\tTRIK CURANG!! LANGSUNG DIREKTUR BAYERN MUNICH!! - FOOTBALL RISING STAR\tMA Ramadhan\thttps://www.youtube.com/watch?v=u9u13rZUMZw
sS5T8E43LQI\tFootball Rising Star - Gameplay Walkthrough (Android) Part 1\tKhalifa02dz\thttps://www.youtube.com/watch?v=sS5T8E43LQI
I2u0dSwF4KI\tFootball Rising Star (Footy Star) - SC career, season 1. Playing for the US Boulogne.\tAll about Football Management games\thttps://www.youtube.com/watch?v=I2u0dSwF4KI
xGjEcUh4Egc\tFootball Rising star\tCindy Kasset\thttps://www.youtube.com/watch?v=xGjEcUh4Egc
AN6KS7dtQs0\tA perfect way to end things / Football Rising Star (Ending)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=AN6KS7dtQs0
sERnLxyCk2Y\tgame football rising star, cara main sampe tamat dapat full tropy\tWongrapenting\thttps://www.youtube.com/watch?v=sERnLxyCk2Y
zt8Jd2CWQG8\tolder and smarter / Football Rising Star (pt19)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=zt8Jd2CWQG8
KQiUcv9d25c\tFootball Rising Star review (Android game, 2021)\tAll about Football Management games\thttps://www.youtube.com/watch?v=KQiUcv9d25c
LpDz6NKXYBM\tFootball Rising Star (Footy Star) - coach career, season 3. Managing Cheltenham Town.\tAll about Football Management games\thttps://www.youtube.com/watch?v=LpDz6NKXYBM
ixPDe9rxZoM\tFootball Rising Star (Footy Star) - SC career, season 13. Playing for Real Madrid.\tAll about Football Management games\thttps://www.youtube.com/watch?v=ixPDe9rxZoM
lHCrft7lDZI\tFootball Rising Star (Footy Star) - SC career, season 14. Playing for Manchester City.\tAll about Football Management games\thttps://www.youtube.com/watch?v=lHCrft7lDZI
ZLn5L14HZiE\tFootball Rising Star Iakovos Tsaggaris 'Jack'\tEric Averkiou- eaMedia\thttps://www.youtube.com/watch?v=ZLn5L14HZiE
vJ0IichQ_8k\tgetting good / Football Rising Star (pt10)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=vJ0IichQ_8k
PrKpt78uCes\tstill here / Football Rising Star (pt4)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=PrKpt78uCes
27hV51jxA28\tFootball Rising Star (Footy Star) - coach career, season 6. Managing Salford City.\tAll about Football Management games\thttps://www.youtube.com/watch?v=27hV51jxA28
GR1ZWniQDJU\tFinally good enough / Football Rising Star (pt11)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=GR1ZWniQDJU
NzOVB2CWLxY\tolder and better / Football Rising Star (pt18)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=NzOVB2CWLxY
ve-Igqffq18\tLeaving? / Football Rising Star (pt6)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=ve-Igqffq18
iIJdGzt4Ths\tso close to the final / Football Rising Star (pt11)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=iIJdGzt4Ths
2JAfAo0BIl8\tFootball Rising Star (Official Launch) - New Android I IOS Simulation Games Gameplay\tLokecu\thttps://www.youtube.com/watch?v=2JAfAo0BIl8
qzq_jzO8ozI\tjoining a new club / Football Rising Star (pt7)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=qzq_jzO8ozI
YRYTporWMLg\tFootball rising star pt.1\tZerø_\thttps://www.youtube.com/watch?v=YRYTporWMLg
gaNHAkB9MXY\tWA Country Football Rising Star 2011\tJohn Komorowski\thttps://www.youtube.com/watch?v=gaNHAkB9MXY
S7PZxhfE5pA\tFootball Rising Star (Footy Star) - Coach career, season 2. Managing Numancia and Livorno.\tAll about Football Management games\thttps://www.youtube.com/watch?v=S7PZxhfE5pA
=== QUERY: 足球：巨星崛起 ===
hgU4BLySAZU\t[足球：巨星崛起］成為最强的前锋只需要點射門就可以了！！！\t超級流星雨\thttps://www.youtube.com/watch?v=hgU4BLySAZU
f1lWVFTy-ac\t(足球:巨星崛起) 首款養成類球遊戲，玩法分享試玩系列\tDえY-Game\thttps://www.youtube.com/watch?v=f1lWVFTy-ac
2p2tzPy-k5s\t足球：巨星崛起EP.2\tYu\thttps://www.youtube.com/watch?v=2p2tzPy-k5s
g87MAQ6ZtIs\t🌟 巴西新一代足球巨星降臨! Vinicius Junior 在皇馬的不可思議崛起之路 🇧🇷👑\t足壇名人堂 Football Hall of Fame\thttps://www.youtube.com/watch?v=g87MAQ6ZtIs
PRv7ySWE9wU\t足球 巨星崛起Ep.1\tYu\thttps://www.youtube.com/watch?v=PRv7ySWE9wU
iZwPKHBiPes\tJapHK LIVE! 新APP試玩 「足球 : 巨星崛起 ! 」  20210927\tJapHK LIVE 旅遊娛樂遊戲生活\thttps://www.youtube.com/watch?v=iZwPKHBiPes
=== QUERY: 足球巨星崛起 ===
hgU4BLySAZU\t[足球：巨星崛起］成為最强的前锋只需要點射門就可以了！！！\t超級流星雨\thttps://www.youtube.com/watch?v=hgU4BLySAZU
f1lWVFTy-ac\t(足球:巨星崛起) 首款養成類球遊戲，玩法分享試玩系列\tDえY-Game\thttps://www.youtube.com/watch?v=f1lWVFTy-ac
2p2tzPy-k5s\t足球：巨星崛起EP.2\tYu\thttps://www.youtube.com/watch?v=2p2tzPy-k5s
PRv7ySWE9wU\t足球 巨星崛起Ep.1\tYu\thttps://www.youtube.com/watch?v=PRv7ySWE9wU
iZwPKHBiPes\tJapHK LIVE! 新APP試玩 「足球 : 巨星崛起 ! 」  20210927\tJapHK LIVE 旅遊娛樂遊戲生活\thttps://www.youtube.com/watch?v=iZwPKHBiPes
g87MAQ6ZtIs\t🌟 巴西新一代足球巨星降臨! Vinicius Junior 在皇馬的不可思議崛起之路 🇧🇷👑\t足壇名人堂 Football Hall of Fame\thttps://www.youtube.com/watch?v=g87MAQ6ZtIs
a2DTKeKC16Y\tHow FIFA Shattered the Career of Asia’s Biggest Football Rising Star and Lost a Legend\tTHE Football NARRATIVE - Football Stories\thttps://www.youtube.com/watch?v=a2DTKeKC16Y
asywXscnusQ\tFootball Rising Star (CF) 2024/25 Season - Battling Relegation with Mallorca\tPokePlayLarry\thttps://www.youtube.com/watch?v=asywXscnusQ
as6OVlUCGUY\tFootball Rising Star (CF) 2025/26 Season - Leaving Mallorca, Winning Promotion with Almeria\tPokePlayLarry\thttps://www.youtube.com/watch?v=as6OVlUCGUY
0PBmUx2niI4\tFootball Rising Star (Footy Star) - SC career, season 9. Playing for the Valladolid.\tAll about Football Management games\thttps://www.youtube.com/watch?v=0PBmUx2niI4
o_aPG1Ar6_o\tFootball Rising Star (CF) 2023/24 Season - Leaving Hallescher, Thriving at Mallorca\tPokePlayLarry\thttps://www.youtube.com/watch?v=o_aPG1Ar6_o
18n65sMggxY\twinnig my 1st trophie / Football Rising Star (pt14)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=18n65sMggxY
0iUkXrxuwug\tJack Football Rising Star Freestyle Real Madrid - Jack or CR9\tFootballrisingstar Jack Alonso Torres\thttps://www.youtube.com/watch?v=0iUkXrxuwug
v-tw0KYQksU\tLEE KANGIN 'The Korean Football Rising Star' BOSU training !! It doesn't look easy !!\tDoYou\thttps://www.youtube.com/watch?v=v-tw0KYQksU
bOHOhIJ4pJo\tJack, Football Rising Star Freestyle Real Madrid - Jack or CR9\tFootballrisingstar Jack Alonso Torres\thttps://www.youtube.com/watch?v=bOHOhIJ4pJo
u3ksjgrZHuQ\t🔥 Football Rising Star: Hamza⚽ #futebol #laliga #trending\tTalent d’Or Official\thttps://www.youtube.com/watch?v=u3ksjgrZHuQ
qTAoeJWU8os\tCameron Norris - 2015 Pitt Football Rising Star Camp 6-6-15\tCameron Norris\thttps://www.youtube.com/watch?v=qTAoeJWU8os
max8J9Geew4\tFootball Rising Star (Footy Star) - SC career, season 7. Playing for the Valladolid.\tAll about Football Management games\thttps://www.youtube.com/watch?v=max8J9Geew4
=== QUERY: Footy Star Babuyo ===
rOa9Tu9-oSA\tFootball Rising Star (Footy Star) - coach career, season 10. Managing Chievo.\tAll about Football Management games\thttps://www.youtube.com/watch?v=rOa9Tu9-oSA
u9u13rZUMZw\tTRIK CURANG!! LANGSUNG DIREKTUR BAYERN MUNICH!! - FOOTBALL RISING STAR\tMA Ramadhan\thttps://www.youtube.com/watch?v=u9u13rZUMZw
I2u0dSwF4KI\tFootball Rising Star (Footy Star) - SC career, season 1. Playing for the US Boulogne.\tAll about Football Management games\thttps://www.youtube.com/watch?v=I2u0dSwF4KI
MxfsioObRng\tFootball Rising Star (Footy Star) - coach career, season 11. Managing Chievo.\tAll about Football Management games\thttps://www.youtube.com/watch?v=MxfsioObRng
na9B42IYt7U\tFootball Rising Star (Footy Star) - SC career, season 5. Playing for the Walsall.\tAll about Football Management games\thttps://www.youtube.com/watch?v=na9B42IYt7U
OIreHNj552g\tFootball Rising Star (Footy Star) - SC career, season 18. Playing for PSG.\tAll about Football Management games\thttps://www.youtube.com/watch?v=OIreHNj552g
0PBmUx2niI4\tFootball Rising Star (Footy Star) - SC career, season 9. Playing for the Valladolid.\tAll about Football Management games\thttps://www.youtube.com/watch?v=0PBmUx2niI4
dz_BUhZhjV4\tFootball Rising Star (Footy Star) - SC career, season 8. Playing for the Valladolid.\tAll about Football Management games\thttps://www.youtube.com/watch?v=dz_BUhZhjV4
SVInhgQM94g\tFootball Rising Star (Footy Star) - SC career, season 19. Playing for PSG.\tAll about Football Management games\thttps://www.youtube.com/watch?v=SVInhgQM94g
LpDz6NKXYBM\tFootball Rising Star (Footy Star) - coach career, season 3. Managing Cheltenham Town.\tAll about Football Management games\thttps://www.youtube.com/watch?v=LpDz6NKXYBM
N9Sjfi6SREg\tFootball Rising Star (Footy Star) - coach career, season 16. Managing Hellas Verona.\tAll about Football Management games\thttps://www.youtube.com/watch?v=N9Sjfi6SREg
OCajypOG5rE\tFootball Rising Star (Footy Star) - coach career, season 20. Managing Hellas Verona.\tAll about Football Management games\thttps://www.youtube.com/watch?v=OCajypOG5rE
27hV51jxA28\tFootball Rising Star (Footy Star) - coach career, season 6. Managing Salford City.\tAll about Football Management games\thttps://www.youtube.com/watch?v=27hV51jxA28
ahJgTh3rL2o\tFootball Rising Star (Footy Star) - coach career, season 24. Managing Hellas Verona.\tAll about Football Management games\thttps://www.youtube.com/watch?v=ahJgTh3rL2o
tGr3HSsKkrQ\tFootball Rising Star (Footy Star) - SC career, season 17. Playing for PSG.\tAll about Football Management games\thttps://www.youtube.com/watch?v=tGr3HSsKkrQ
NqGkf2vy3fQ\tFootball Rising Star (Footy Star) - coach career, season 22. Managing Hellas Verona.\tAll about Football Management games\thttps://www.youtube.com/watch?v=NqGkf2vy3fQ
fock3C3BsoM\tFootball Rising Star (Footy Star) - coach career, season 5. Managing Salford City.\tAll about Football Management games\thttps://www.youtube.com/watch?v=fock3C3BsoM
ixPDe9rxZoM\tFootball Rising Star (Footy Star) - SC career, season 13. Playing for Real Madrid.\tAll about Football Management games\thttps://www.youtube.com/watch?v=ixPDe9rxZoM
AZWUY_1iZUw\tFootball Rising Star (Footy Star) - coach career, season 4. Managing Cheltenham Town.\tAll about Football Management games\thttps://www.youtube.com/watch?v=AZWUY_1iZUw
tt-vCq4UJPI\tFootball Rising Star (Footy Star) - coach career, season 9. Managing Chievo.\tAll about Football Management games\thttps://www.youtube.com/watch?v=tt-vCq4UJPI
qgoh3fEYZmI\tFootball Rising Star (Footy Star) - SC career, season 16. Playing for PSG.\tAll about Football Management games\thttps://www.youtube.com/watch?v=qgoh3fEYZmI
DzJRgqe0Jnk\tFootball Rising Star (Footy Star) - SC career, season 20. Playing for PSG.\tAll about Football Management games\thttps://www.youtube.com/watch?v=DzJRgqe0Jnk
