=== QUERY: Football Rising Star Versus ===
u9u13rZUMZw\tTRIK CURANG!! LANGSUNG DIREKTUR BAYERN MUNICH!! - FOOTBALL RISING STAR\tMA Ramadhan\thttps://www.youtube.com/watch?v=u9u13rZUMZw
VoV5bhZAVxI\tthe end has come / Football Rising Star (Ending)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=VoV5bhZAVxI
I2u0dSwF4KI\tFootball Rising Star (Footy Star) - SC career, season 1. Playing for the US Boulogne.\tAll about Football Management games\thttps://www.youtube.com/watch?v=I2u0dSwF4KI
sERnLxyCk2Y\tgame football rising star, cara main sampe tamat dapat full tropy\tWongrapenting\thttps://www.youtube.com/watch?v=sERnLxyCk2Y
AN6KS7dtQs0\tA perfect way to end things / Football Rising Star (Ending)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=AN6KS7dtQs0
sS5T8E43LQI\tFootball Rising Star - Gameplay Walkthrough (Android) Part 1\tKhalifa02dz\thttps://www.youtube.com/watch?v=sS5T8E43LQI
xg2GdcAHDQI\tSAKA vs SALAH | Football Rap Battle\tFootball Rap Battles\thttps://www.youtube.com/watch?v=xg2GdcAHDQI
=== QUERY: Football Rising Star battle mode ===
s1Li2_3YBaY\tFootball Rising Star (Footy Star) - SC career, season 4. Playing for the Walsall.\tAll about Football Management games\thttps://www.youtube.com/watch?v=s1Li2_3YBaY
2JAfAo0BIl8\tFootball Rising Star (Official Launch) - New Android I IOS Simulation Games Gameplay\tLokecu\thttps://www.youtube.com/watch?v=2JAfAo0BIl8
MhGAiD815S0\tFootball Rising Star (Footy Star) - coach career, season 15. Managing Hellas Verona.\tAll about Football Management games\thttps://www.youtube.com/watch?v=MhGAiD815S0
oqxWKezVehg\tBarcelona vs Arsenal | 3v3 Volta Street Football Battle 🔥 | FC 25 PS5 Gameplay\tAD11\thttps://www.youtube.com/watch?v=oqxWKezVehg
fR63qNGN-Y0\tMario Strikers: Battle League - All Hyper Strikes (DLC Included)\tZephiel810\thttps://www.youtube.com/watch?v=fR63qNGN-Y0
F-66VX9GBnI\tBarça Battle: FC Barcelona vs. Granada RB Football Clash\tLevooFC\thttps://www.youtube.com/watch?v=F-66VX9GBnI
9L5TYLKOZkA\tFortnite roleplay-football rising star)(Fortnite short flim#900\tEmpower\thttps://www.youtube.com/watch?v=9L5TYLKOZkA
c7nRTF2SowQ\tBattlefield 1 Official Reveal Trailer\tBattlefield\thttps://www.youtube.com/watch?v=c7nRTF2SowQ
=== QUERY: Football Rising Star friend battle ===
GXkpFgX4DS0\tCristiano Ronaldo: The Unseen Battle – From Slums to Superstar (The Full Story)\tluxe legends\thttps://www.youtube.com/watch?v=GXkpFgX4DS0
Wtu0ZDe60KM\tThe NFL's finest battle it out on the Feud! | Celebrity Family Feud\tFamily Feud\thttps://www.youtube.com/watch?v=Wtu0ZDe60KM
UFR07iPUnZM\tHenry: Arsenal Glory, Barca Battles & Premier League Legacy | Stick to Football EP 85\tThe Overlap\thttps://www.youtube.com/watch?v=UFR07iPUnZM
TlmAZrjWgaI\tTeen Titans Go! | Best Personality For Battle | Cartoon Network UK 🇬🇧\tCartoon Network UK\thttps://www.youtube.com/watch?v=TlmAZrjWgaI
FACQlagUyrM\tBattle Royale in Mumbai Map in @BattleStarsOfficial\tTechno Gamerz\thttps://www.youtube.com/watch?v=FACQlagUyrM
EESpwFolVyA\tDance Dance Dance Battle (Music Video)\tMattyBRaps\thttps://www.youtube.com/watch?v=EESpwFolVyA
Tq3ATapQu0M\tNERD Beats BULLY In A Rap Battle..\tFoltyn Reacts\thttps://www.youtube.com/watch?v=Tq3ATapQu0M
SQAKG_LKgQU\tMilo vs Chip vs Friends: WATER House Battle in Minecraft\tMilo and Chip\thttps://www.youtube.com/watch?v=SQAKG_LKgQU
=== QUERY: Football Rising Star online league ===
VoV5bhZAVxI\tthe end has come / Football Rising Star (Ending)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=VoV5bhZAVxI
w39uMEWNtZo\tFirst trophy and a new club? / Football Rising Star (pt10)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=w39uMEWNtZo
AN6KS7dtQs0\tA perfect way to end things / Football Rising Star (Ending)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=AN6KS7dtQs0
zt8Jd2CWQG8\tolder and smarter / Football Rising Star (pt19)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=zt8Jd2CWQG8
fM4sb8tbsiA\tGetting better with a better team / Football Rising Star (pt13)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=fM4sb8tbsiA
KQiUcv9d25c\tFootball Rising Star review (Android game, 2021)\tAll about Football Management games\thttps://www.youtube.com/watch?v=KQiUcv9d25c
X-o-CDGcj8Y\twinning awards / Football Rising Star (pt17)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=X-o-CDGcj8Y
27hV51jxA28\tFootball Rising Star (Footy Star) - coach career, season 6. Managing Salford City.\tAll about Football Management games\thttps://www.youtube.com/watch?v=27hV51jxA28
MrPxWaLDg-w\tFinally we did it / Football Rising Star (pt16)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=MrPxWaLDg-w
R2Js6MQwIZY\tjoining a bigger club / Football Rising Star (pt15)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=R2Js6MQwIZY
sfozu7UHd0o\tFootball Rising Star (Footy Star) - coach mode, season 21. Managing Hellas Verona.\tAll about Football Management games\thttps://www.youtube.com/watch?v=sfozu7UHd0o
2JAfAo0BIl8\tFootball Rising Star (Official Launch) - New Android I IOS Simulation Games Gameplay\tLokecu\thttps://www.youtube.com/watch?v=2JAfAo0BIl8
I2u0dSwF4KI\tFootball Rising Star (Footy Star) - SC career, season 1. Playing for the US Boulogne.\tAll about Football Management games\thttps://www.youtube.com/watch?v=I2u0dSwF4KI
JIlGpbZ6mvg\tThe football world is not ready / Football Rising Star (pt1)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=JIlGpbZ6mvg
Q7L8mNBcsKs\twinning more and more / Football Rising Star (pt16)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=Q7L8mNBcsKs
8cuTvm5iHjM\tFootball rising star #3\tZerø_\thttps://www.youtube.com/watch?v=8cuTvm5iHjM
pdn8TgmY2Eg\timproving myself / Football Rising Star (pt2)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=pdn8TgmY2Eg
yIExE92p-Uo\tFootball Rising Star (Footy Star) - coach career, season 12. Managing Chievo.\tAll about Football Management games\thttps://www.youtube.com/watch?v=yIExE92p-Uo
jm8zfP8fCms\tFootball Rising Star (Footy Star) - coach career, season 13. Managing Hellas Verona.\tAll about Football Management games\thttps://www.youtube.com/watch?v=jm8zfP8fCms
ymPgbtxeTIw\tTop 5 The Best Football Rising Star in The World\tlokman reo\thttps://www.youtube.com/watch?v=ymPgbtxeTIw
HweegpHNoiw\tFootball Rising Star (Footy Star) - coach career, season 31. Managing Lyon.\tAll about Football Management games\thttps://www.youtube.com/watch?v=HweegpHNoiw
DzJRgqe0Jnk\tFootball Rising Star (Footy Star) - SC career, season 20. Playing for PSG.\tAll about Football Management games\thttps://www.youtube.com/watch?v=DzJRgqe0Jnk
hclwbUmsET4\tFootball Rising Star (Footy Star) - Coach career, season 1. Managing Cultural Leonesa.\tAll about Football Management games\thttps://www.youtube.com/watch?v=hclwbUmsET4
1VG8wjO2Nwk\tgetting old and better / Football Rising Star (pt19)\tThe Remarkable Gamer\thttps://www.youtube.com/watch?v=1VG8wjO2Nwk
sERnLxyCk2Y\tgame football rising star, cara main sampe tamat dapat full tropy\tWongrapenting\thttps://www.youtube.com/watch?v=sERnLxyCk2Y
YWWDntsADP4\tFootball Rising Star (Footy Star) - coach career, season 32. Managing Lyon.\tAll about Football Management games\thttps://www.youtube.com/watch?v=YWWDntsADP4
=== QUERY: Footy Star Versus mode ===
V8MsDUXNl8A\tFooty Star Versus Mode |No Commentary|Day1|\tDraga •Daily• 100Hari Challenges\thttps://www.youtube.com/watch?v=V8MsDUXNl8A
tCfMag6bHXQ\tEXTREME FIFA ULTIMATE TEAM CARD BATTLE | FIFA 21 - BILLY Vs JEZZA 🔥🔥🔥\tPro Football Academy – The Next Gen of Ballers!\thttps://www.youtube.com/watch?v=tCfMag6bHXQ
=== QUERY: Football Rising Star group code ===
2JAfAo0BIl8\tFootball Rising Star (Official Launch) - New Android I IOS Simulation Games Gameplay\tLokecu\thttps://www.youtube.com/watch?v=2JAfAo0BIl8
=== QUERY: Football Rising Star advanced scout ===
=== QUERY: 足球：巨星崛起 对战模式 ===
sS5T8E43LQI\tFootball Rising Star - Gameplay Walkthrough (Android) Part 1\tKhalifa02dz\thttps://www.youtube.com/watch?v=sS5T8E43LQI
=== QUERY: 足球：巨星崛起 好友对战 ===
=== QUERY: 足球：巨星崛起 高级球探 ===
frXjkhtEWkI\t球探是如何发掘足球天才的？\tFSGPOA\thttps://www.youtube.com/watch?v=frXjkhtEWkI
=== QUERY: 足球：巨星崛起 分组码 ===
=== QUERY: 足球：巨星崛起 联赛奖励 ===
